PO Requestor WWID,SC Number,PO Number,PO Date,PO Validity End Date,PO Net Amt $,PO Supplier Name,PO Supplier ID
B3843902,548945,6791762816,2021-02-16,2021-04-11,10039,ojVLaPMqrIZGqxL,1182
G3963840,548945,6791762816,2021-02-07,2021-04-21,4273,qFJvAPvTcidepop,1030
B0325269,548945,6791762816,2021-01-21,2021-04-06,14075,LwrcBTFFHRoLlMj,6967
G7769999,548945,6791762816,2021-01-01,2021-03-31,2293,DLkMFyFEjlnTnJm,8165
G5858177,548945,6791762816,2021-01-10,2021-03-06,6407,CcOJMixyfjCsmcf,9478
G7934854,548945,6791762816,2021-02-08,2021-04-11,7240,MuHOUrHguoEYAeM,1082
G2953015,548945,6791762816,2021-02-14,2021-03-31,1313,vvOKfOjsxzJRksr,9555
G9625029,548945,6791762816,2021-02-15,2021-04-04,11758,iqiCRjoLfojlSpE,5007
G6050999,548945,6791762816,2021-03-07,2021-03-29,5962,MMBGmAKYngikDHR,5364
G0294273,548945,6791762816,2021-02-02,2021-04-30,14202,xztIrSGEaoKUeaf,7518
B8205457,548945,6791762816,2021-01-17,2021-02-12,5478,VTyNzgsaxoJgJMj,4162
G7494913,548945,6791762816,2021-01-10,2021-02-10,3176,InYVbAVIPPURVXu,6620
G7348164,548945,6791762816,2021-03-18,2021-04-27,11273,CenmZcmQyJNZhkx,4338
A2747102,548945,6791762816,2021-03-21,2021-03-22,13966,UquBxuIYYlheEUD,6308
B6683279,548945,6791762816,2021-02-01,2021-02-22,14026,iSYGlcfwPowkOBO,6563
A3141641,548945,6791762816,2021-03-06,2021-03-28,11520,lIOtLqjoizjqAwR,8014
G8733259,548945,6791762816,2021-03-10,2021-03-27,7568,emKbOzJUnQEoxkQ,8739
A2747102,548945,6791762816,2021-03-09,2021-04-16,3475,XBRNiaIjbVGmZJZ,7218
A9803288,548945,6791762816,2021-01-06,2021-01-08,8769,vPEEbMSJWzApJzO,7446
G8733259,548945,6791762816,2021-02-08,2021-04-05,7947,NwRdHFqoGFZtYAG,7758
G9546779,548945,6791762816,2021-03-01,2021-04-08,4634,wBvvPXHFydfoObc,3754
B8800376,548945,6791762816,2021-03-15,2021-06-05,1175,BORsayZsifEOpzm,3759
G0294273,548945,6791762816,2021-03-12,2021-04-21,1057,EgAfgCWKmKHuaHH,3571
A2747102,548945,6791762816,2021-03-03,2021-04-25,1506,gIqTXpzQqidaKil,4026
B8205457,548945,6791762816,2021-03-11,2021-05-14,3941,cVOvdENrdknySWA,2770
B8552233,548945,6791762816,2021-02-08,2021-03-18,8146,UlrEXXWghkjeRxz,2557
B4166266,548945,6791762816,2021-01-15,2021-02-20,9151,VPKWvfZalPfBDzH,6095
A8394297,548945,6791762816,2021-01-26,2021-04-05,7841,wMvEyprDBUhSLjW,2649
B0888875,548945,6791762816,2021-01-15,2021-03-13,1043,QfAmTRvhpkZtXYT,7020
G8733259,548945,6791762816,2021-02-09,2021-04-24,3689,sLzBrZiwsGncfBy,3900
B1285962,548945,6791762816,2021-03-14,2021-05-17,4328,KRMQeAIiRhzvOkf,7489
B8552233,548945,6791762816,2021-01-09,2021-03-26,1482,WijxzhyeIIaSJRt,9034
G3295109,548945,6791762816,2021-02-28,2021-04-30,13120,OskxxDwKVnWSIkH,5662
B8552233,548945,6791762816,2021-03-30,2021-06-06,3045,MbIJOMmTfKoqtKw,3440
B1093048,548945,6791762816,2021-03-11,2021-04-30,13799,CrigWuTJkOmrcmP,9712
B6683279,548945,6791762816,2021-03-07,2021-04-10,3412,LODSuylWBxvuYsm,8593
G8599442,548945,6791762816,2021-02-08,2021-04-23,9184,ipnkHiDkjRctFCT,8403
G5778210,548945,6791762816,2021-01-15,2021-03-20,1966,JWXpqRgZrtBEcXE,6381
G9369824,548945,6791762816,2021-01-11,2021-03-01,10270,GaltlZNWMJOhkkp,6054
G2493226,548945,6791762816,2021-03-16,2021-06-04,1730,mvEotLbXAFHxgJZ,3567
G4734347,548945,6791762816,2021-02-28,2021-05-10,11857,GIZDWygIesdftTy,6420
G9625029,548945,6791762816,2021-01-16,2021-01-30,7372,nzMabAddqJrMpJj,3903
A2747102,548945,6791762816,2021-03-03,2021-03-27,1893,CAagDnSirtrvEmf,8999
G5778210,548945,6791762816,2021-01-29,2021-04-13,11284,ICmRccWlsoTqzVi,4729
B3843902,548945,6791762816,2021-02-10,2021-04-04,4378,PKfBpSGUDLXJpjk,8099
B1093048,548945,6791762816,2021-02-20,2021-04-13,6615,eXwjuzfXkZSoZxy,5016
B0888875,548945,6791762816,2021-01-18,2021-04-02,8306,ULgZNYSvZOgORyU,5727
G1183762,548945,6791762816,2021-03-18,2021-04-20,3778,roBqqYyzqgAGEpc,1230
G9369824,548945,6791762816,2021-03-19,2021-05-15,12228,BVfSvDmUPOPrvwa,8310
A4072681,548945,6791762816,2021-02-20,2021-04-01,14271,lyleyuNGaQnrxlk,7325
G5858177,548945,6791762816,2021-03-26,2021-04-06,14816,sqxYGFxwPXCHmHf,8493
G7934731,548945,6791762816,2021-03-19,2021-04-06,1116,fGeQwCAXKGHSwol,3380
G7934731,548945,6791762816,2021-03-28,2021-04-03,3994,boUBbatkNJjIRlF,3896
B6683279,548945,6791762816,2021-03-21,2021-05-18,11064,BntOPFexUtrVDIB,4867
B6230669,548945,6791762816,2021-02-14,2021-02-20,11947,cvOfuZplpZtPukz,6418
B4316135,548945,6791762816,2021-02-15,2021-02-24,13583,hNQjbwXmjOZDstJ,3458
B1285962,548945,6791762816,2021-01-06,2021-02-01,8894,EPJLYNVDJEllbJW,3281
B4870683,548945,6791762816,2021-03-15,2021-05-15,1044,jiDYJguETgqlzml,7911
G9546779,548945,6791762816,2021-01-18,2021-02-08,9394,nVuHhtNGUjgKZzc,8556
G9625029,548945,6791762816,2021-01-07,2021-02-23,14587,GVecFGjdGcJpSsT,9345
G5778210,548945,6791762816,2021-01-01,2021-02-21,2481,tkvolmCZVRvBipG,4284
A8394297,548945,6791762816,2021-03-01,2021-03-17,4446,UhZcSqFnqqQmoIp,8263
G6050999,548945,6791762816,2021-02-08,2021-05-09,12829,eRRLWdCRTYjyECs,6921
B4316135,548945,6791762816,2021-02-08,2021-04-14,14212,FSlZuEuAgBaPPru,9572
B9539893,548945,6791762816,2021-02-09,2021-02-21,13592,wHLqXlNdorrUrKx,4860
G4734347,548945,6791762816,2021-01-22,2021-03-05,5759,cXBqnNFLduYQtap,7957
B6683279,548945,6791762816,2021-02-09,2021-03-02,10145,MABKlXDDKdyLlEq,8681
A9803288,548945,6791762816,2021-02-25,2021-05-21,5599,bAZQOGFWGQYUgEx,1649
B4316135,548945,6791762816,2021-01-17,2021-01-20,6858,qQjNKdwHXlqFVVO,8699
B5730997,548945,6791762816,2021-02-26,2021-04-07,12131,sEXUXRuEbbnntWZ,7539
A4255888,548945,6791762816,2021-01-12,2021-01-16,8806,EhRJCKBrqkdNomW,9207
G2493226,548945,6791762816,2021-02-03,2021-04-22,12234,ZKfJRKmTPAYujux,4539
B6230669,548945,6791762816,2021-01-20,2021-04-20,11807,OWqgMUoVWwPkGye,8590
G7934731,548945,6791762816,2021-03-01,2021-05-06,13278,LiGuoixSIoOYFQX,7621
G7934854,548945,6791762816,2021-03-17,2021-04-04,13484,fSSMHMuSWnqePLE,2937
G7934731,548945,6791762816,2021-02-17,2021-04-28,1256,DLvCYjuGWCVeCAt,9943
B3049489,548945,6791762816,2021-01-18,2021-02-19,2528,CEiyGctLLVdbkUD,1997
B3843902,548945,6791762816,2021-02-12,2021-05-12,8885,yvrSaPnktCUHOnt,5672
B3111382,548945,6791762816,2021-03-21,2021-03-22,4792,PsltpzhEjNIZaLE,7956
G7934731,548945,6791762816,2021-01-28,2021-02-21,11380,avRGmkDebgUBIWb,6716
G9625029,548945,6791762816,2021-03-13,2021-05-05,10060,dRDOLuGSvKggYEG,7728
G2506327,548945,6791762816,2021-03-10,2021-05-06,6602,zVaJckNSOyphCaS,1134
G3241853,548945,6791762816,2021-02-24,2021-04-20,7705,nTuApLBSZVboFSp,5889
G2506327,548945,6791762816,2021-02-09,2021-02-15,7932,rTwTzkhzzqKxEGY,8925
B5730997,548945,6791762816,2021-02-22,2021-04-24,12247,OzBxmraBdijrbMP,7581
G1183762,548945,6791762816,2021-01-17,2021-03-06,11949,NZuJRedHrZkDleP,9967
A4072681,548945,6791762816,2021-01-26,2021-03-23,9691,VvHzxrmfVJEblag,6136
B4166266,548945,6791762816,2021-02-02,2021-02-15,10243,xHkWavVKXvOSfTI,4742
B5730997,548945,6791762816,2021-01-31,2021-03-05,6281,nSOcPDtVfhsLtVe,8131
B3049489,548945,6791762816,2021-01-27,2021-02-27,1885,SYuxFpnyOUDQYso,6621
B1093048,548945,6791762816,2021-01-02,2021-02-20,10527,waFJevsgGuQpSab,9838
B1093048,548945,6791762816,2021-03-17,2021-05-16,13027,uZvIpeYYXlvFmYz,7101
B1605324,548945,6791762816,2021-01-14,2021-01-20,2212,fTcrFVEGmlxIpfH,8966
G8599442,548945,6791762816,2021-02-04,2021-03-01,6557,NzpdfXaJtsvAzbS,7552
G9663829,548945,6791762816,2021-03-25,2021-05-27,6635,xybunTcAliYruAr,9748
G9546779,548945,6791762816,2021-02-05,2021-02-25,4681,SOuCuQyzogLpwpd,7089
G9546779,548945,6791762816,2021-02-22,2021-04-15,11285,QKhdphfgBhYDkHY,7648
B6230669,548945,6791762816,2021-03-24,2021-06-01,13814,YqtKgApSRALIqrN,9535
B0888875,548945,6791762816,2021-01-31,2021-03-30,4996,ozUKembWomnlwlx,4918
A4255888,548945,6791762816,2021-01-05,2021-02-10,8343,CFfsZfXcsZKxtlZ,3037
B5730997,548945,6791762816,2021-02-17,2021-05-03,3986,sptuhDafFkyeHpY,7123
G7348164,548945,6791762816,2021-03-19,2021-05-27,4717,wtEQEwRTKThnOEc,8077
G3963840,548945,6791762816,2021-03-10,2021-05-07,10529,CgvWNNgprpSNSIi,8968
B2339584,548945,6791762816,2021-02-11,2021-03-27,9502,DkZeHZURMIFNctV,7018
A3141641,548945,6791762816,2021-02-06,2021-02-17,11339,SaLeVTRIbKOykZF,9458
B5730997,548945,6791762816,2021-01-17,2021-01-29,10869,qvTgqOhjkRIWdMv,2054
G6621122,548945,6791762816,2021-02-17,2021-05-03,3492,lNGqWFrzUWxhEhY,7119
B9867334,548945,6791762816,2021-01-29,2021-04-17,12848,naIHvZUPhkBuDJM,6257
G3295109,548945,6791762816,2021-01-16,2021-02-28,14086,GDZqQkhXIjkLmUW,6510
G2493226,548945,6791762816,2021-02-16,2021-04-17,9536,UkqIDLAIfgpnbkX,9219
B0888875,548945,6791762816,2021-02-23,2021-05-20,5001,DRkFMbjnMHmshWi,1678
A3141641,548945,6791762816,2021-03-26,2021-06-10,7617,dGrIZvEGbnmGsgZ,2507
G2953015,548945,6791762816,2021-01-12,2021-01-30,13955,ydxyXTyaZBhmRQz,9235
G5858177,548945,6791762816,2021-01-17,2021-03-25,4392,xwJDzeJQgoSQNhJ,2393
G2506327,548945,6791762816,2021-02-10,2021-03-31,12164,zZODIcJzFMpFSvm,1219
B9867334,548945,6791762816,2021-01-14,2021-03-29,11765,SvpHxqKefInftir,2428
B1605324,548945,6791762816,2021-03-26,2021-05-03,8187,BKyTsxUCyiyjikN,2577
G1183762,548945,6791762816,2021-03-08,2021-05-03,3507,yTOkFNMBsBpmCpD,1074
B9867334,548945,6791762816,2021-02-25,2021-03-03,4045,xoCkhDbJvftkCzZ,2234
B1093048,548945,6791762816,2021-01-17,2021-01-22,6222,HxvcfReDMfHpqdn,6362
B4870683,548945,6791762816,2021-01-27,2021-03-20,3529,IOLqYKUqlMxuniu,3174
G8599442,548945,6791762816,2021-01-23,2021-04-15,2912,HwGVnPFFsLZuIuA,1958
G7934854,548945,6791762816,2021-02-13,2021-02-16,7206,KJMagUMkluvAfXC,9885
B8205457,548945,6791762816,2021-03-08,2021-05-15,6015,HkBJEQWNlZuxqwh,7245
B3049489,548945,6791762816,2021-03-27,2021-06-08,7315,MuvUkDWEfbPjEYm,1558
B3049489,548945,6791762816,2021-01-30,2021-03-10,1724,tyDjwbfTqWxLDbb,8466
B9867334,548945,6791762816,2021-02-22,2021-04-15,14267,xjQrRaJGvKlLKhO,1433
G7934854,548945,6791762816,2021-03-26,2021-06-08,3841,OCYsjBpiGJqclND,8295
G0294273,548945,6791762816,2021-02-26,2021-04-17,4838,mUiVAXtJNEOFmpq,4249
B8800376,548945,6791762816,2021-03-19,2021-05-08,12906,HaVBBwaaRIyZxoN,8978
G5858177,548945,6791762816,2021-02-25,2021-03-12,13924,lEAyNFOTcmvGmGk,8327
B8552233,548945,6791762816,2021-02-10,2021-03-21,4111,gfIfWCIOQPuREHs,9432
A0178720,548945,6791762816,2021-03-15,2021-04-12,7817,utJPWBOpuPawvUi,4225
B9867334,548945,6791762816,2021-03-02,2021-05-16,12937,qsbWNTPTfLKWrCt,1794
A9803288,548945,6791762816,2021-03-18,2021-05-08,2722,mtMWCjaKSaPUvxR,6918
B5730997,548945,6791762816,2021-03-22,2021-04-15,1418,OokqKngnGubfDBb,8868
B2057631,548945,6791762816,2021-03-05,2021-03-15,13970,yqcgtHrUpKmCnxB,2187
G9625029,548945,6791762816,2021-01-09,2021-02-27,14626,lOKfhfXRLxhxGTm,1067
B8205457,548945,6791762816,2021-01-14,2021-03-20,4987,TZtpSjwDvuzFdoF,3956
G7934731,548945,6791762816,2021-02-19,2021-02-27,4104,PtlaIZmJuEWgAhG,5900
B9867334,548945,6791762816,2021-02-13,2021-04-20,6400,MdcYyaNfuYGdXwT,5154
B8205457,548945,6791762816,2021-03-24,2021-05-21,11912,zrskVYLcsiuqmSQ,5637
G7934731,548945,6791762816,2021-01-02,2021-03-02,10611,ZsvgcAMRcPvHiyg,5202
B3843902,548945,6791762816,2021-03-15,2021-06-10,5013,tpTIQOPqOlJbcpt,7908
G5778210,548945,6791762816,2021-02-22,2021-04-15,4004,NhAAAdqeBQAyFfi,8820
G4734347,548945,6791762816,2021-01-17,2021-02-05,7578,UlGpJJtwZiNSgBw,2429
A8394297,548945,6791762816,2021-02-19,2021-05-12,3218,oEInjUQXjYzFqMq,4178
G3660842,548945,6791762816,2021-02-22,2021-04-26,3855,PygjEAgcQFVjbpY,3151
B2339584,548945,6791762816,2021-03-18,2021-04-26,4514,fseRdexjJsnYVla,3448
B4656755,548945,6791762816,2021-01-17,2021-01-28,3533,aDfZXOXMbMZJKwX,1607
G1183762,548945,6791762816,2021-03-08,2021-05-01,12740,uzjJgLajJYJxsJy,9167
G7934854,548945,6791762816,2021-01-04,2021-02-22,9678,SppTtoeKncRYRNP,9520
A4255888,548945,6791762816,2021-01-28,2021-02-10,4343,ZEgOdOyVKyIhUDf,5181
G1183762,548945,6791762816,2021-02-12,2021-04-07,4931,iisOxtXbSUBegPl,4402
G8599442,548945,6791762816,2021-03-07,2021-05-01,4262,iyghqGExvAGzglS,4135
G3660842,548945,6791762816,2021-03-27,2021-05-18,10273,pAOXMPaIyCtodhx,7701
B6683279,548945,6791762816,2021-02-28,2021-03-21,13798,tHlQmvXMZXYmOll,8043
B4656755,548945,6791762816,2021-02-21,2021-03-10,8329,LuAHXQwSmqxQBIu,1145
G4734347,548945,6791762816,2021-02-18,2021-04-13,11374,fvjlDTpZIPlCLNY,7284
B0325269,548945,6791762816,2021-03-24,2021-06-20,5472,COzBRunnIdxcgkr,3918
G9369824,548945,6791762816,2021-01-29,2021-04-25,9151,djfgJVxneIqljzJ,3863
B8552233,548945,6791762816,2021-01-27,2021-02-10,10189,EUgtdmqsGxwzBsf,3008
G9663829,548945,6791762816,2021-01-03,2021-02-22,5599,uqoMJWyBlWVixkU,1572
A4255888,548945,6791762816,2021-03-12,2021-04-30,3508,IGSINnbuRqbXlAB,1160
G7934731,548945,6791762816,2021-01-06,2021-02-13,11479,UvzpKwPizwaZzVg,7366
B1093048,548945,6791762816,2021-02-22,2021-04-27,7866,wSDyUhzcIzSYhTj,2774
B1605324,548945,6791762816,2021-03-21,2021-05-31,9546,MrrLQawXwTpziIp,1958
G1183762,548945,6791762816,2021-03-14,2021-04-20,12073,BBxzNabkqTSxSgg,7484
B0888875,548945,6791762816,2021-02-25,2021-04-28,11166,eliVYRVpivvIyms,4719
B1093048,548945,6791762816,2021-01-24,2021-02-14,2415,riqZUulRkeGjvEF,6567
A8394297,548945,6791762816,2021-02-22,2021-04-14,10426,OFEnMznnrzeHVCN,8893
B4166266,548945,6791762816,2021-02-27,2021-05-17,9592,ucDxLmEjoIgRXTl,3550
A3141641,548945,6791762816,2021-03-16,2021-05-28,8852,gvCnuVnkasyUlpI,9657
G2953015,548945,6791762816,2021-03-22,2021-05-26,1512,ndvFMauwzdwQjEg,8827
G9546779,548945,6791762816,2021-02-28,2021-05-27,4320,yshxKzbwtYcgRbV,9087
G3660842,548945,6791762816,2021-02-23,2021-05-19,5956,zRbYlZFKRUbSTvz,2205
A8394297,548945,6791762816,2021-03-23,2021-05-30,13437,iivigHKhSTXWLPf,7783
B0325269,548945,6791762816,2021-01-04,2021-03-22,10127,PdUHakcmPzBvtti,9062
G5858177,548945,6791762816,2021-01-27,2021-04-09,6490,JKBXZLFsjcsQlEx,3834
G6050999,548945,6791762816,2021-03-08,2021-05-29,2191,mgtnAaaVuehYFHl,5921
G0852942,548945,6791762816,2021-03-20,2021-04-17,1491,hYBJUuZOpTyRKyC,1273
G7083811,548945,6791762816,2021-02-22,2021-02-24,9538,cJpNzXnBSONRxBa,2984
A4432230,548945,6791762816,2021-02-02,2021-05-04,11565,FGJZjsMXXYRgKZy,3824
G1614654,548945,6791762816,2021-01-10,2021-04-14,14385,nIIQRQIghVCfAfO,6547
B0946863,548945,6791762816,2021-02-26,2021-03-21,5727,bXJeXJVfAAubRUX,2996
B3349230,548945,6791762816,2021-02-13,2021-06-06,14260,fLUOPEgrHHrfrQB,9796
A1281711,548945,6791762816,2021-03-14,2021-04-26,13969,HBpuByrKxWOwlUH,4043
B2012375,548945,6791762816,2021-03-14,2021-06-16,7025,orWJtzeuwsJZNnb,2468
B4467435,548945,6791762816,2021-03-21,2021-04-14,6167,pTyzUozBzDwRFfL,6136
B3267212,548945,6791762816,2021-01-24,2021-04-19,13062,dKPDLTqDHnQcXbh,1581
G9545365,548945,6791762816,2021-01-02,2021-03-18,7977,EImOLgETCgQBpXa,5863
G6400239,548945,6791762816,2021-01-27,2021-02-04,1080,IyYCoxtedkHhQnn,4569
A8823249,548945,6791762816,2021-03-19,2021-06-25,2156,ZueHnwejWQSaqmP,6398
B8362241,548945,6791762816,2021-03-24,2021-06-16,5287,moCgMLVwqpSCTNb,9326
A4322331,548945,6791762816,2021-03-27,2021-04-14,8768,mHsjlTZYzZkziGk,5387
B7394308,548945,6791762816,2021-01-11,2021-04-09,9606,NtvVlsboWyfbioF,6140
G7657993,548945,6791762816,2021-01-18,2021-05-16,10824,oWuKOjubnissWmT,1308
G8463650,548945,6791762816,2021-03-29,2021-04-05,6495,WAZxcSlcDqGZvMb,7957
A3208515,548945,6791762816,2021-01-09,2021-05-04,5163,MBMgtPFhpitegOj,2646
B2015835,548945,6791762816,2021-02-01,2021-05-24,13225,JyiHlAvONdGBQfC,9875
G7791598,548945,6791762816,2021-03-10,2021-04-11,2241,OYCLGwNdNSWEoQX,6171
B6314261,548945,6791762816,2021-03-21,2021-05-09,7426,LEwoIeMHaCQQWhN,8965
G5527523,548945,6791762816,2021-02-15,2021-02-19,5967,cBCsUHUTUjuxSxt,1707
G1579640,548945,6791762816,2021-02-24,2021-05-04,2928,JJVIWWCiaSrKTty,6145
A3136291,548945,6791762816,2021-03-29,2021-07-18,14245,JmJpzgLpIyPLtRC,5659
A0721383,548945,6791762816,2021-03-23,2021-07-06,12856,GaLEuGXoLKghUqr,9479
B8254777,548945,6791762816,2021-01-27,2021-04-04,8902,JbKfbQYJPUrfFkI,6002
B5680106,548945,6791762816,2021-01-31,2021-02-24,12805,qInwceDBZyVOeVf,8248
A9286772,548945,6791762816,2021-02-16,2021-03-10,1949,YwTzomsWLxoFRcr,2526
B0665099,548945,6791762816,2021-03-15,2021-04-25,12586,xULbIrGjqpiPKMJ,4470
B3234779,548945,6791762816,2021-03-21,2021-06-16,5849,UjeOswcnqilSzyq,9008
A0451468,548945,6791762816,2021-03-24,2021-06-24,12527,MRxtMVBFPYgRNpq,5728
G1619912,548945,6791762816,2021-03-05,2021-04-28,5621,IJgJcLjXHXyiBzt,1605
G9765864,548945,6791762816,2021-02-02,2021-04-19,12896,vJzcpFLpSjfdVqZ,1290
G3237348,548945,6791762816,2021-03-20,2021-06-05,9241,UwPtETJIYZOykfx,4531
B4918182,548945,6791762816,2021-03-07,2021-06-27,1611,OmQlnpGkASzUyON,5125
B5158676,548945,6791762816,2021-01-09,2021-02-04,7072,ktEkadyaJnnBpBS,9167
G7000260,548945,6791762816,2021-02-20,2021-04-28,10764,RjTVSEfYvCczuVL,6351
G8472484,548945,6791762816,2021-02-28,2021-06-18,7673,ZOEGensaVouNkOH,3058
A3710508,548945,6791762816,2021-01-28,2021-03-24,1522,gGTGdXBiDdjtZyr,1062
A7358737,548945,6791762816,2021-03-29,2021-06-02,12236,cGpMyUhlZeAcikW,5994
B7342992,548945,6791762816,2021-01-11,2021-02-24,14201,fYIliNJGsvkqnSo,3129
A6079551,548945,6791762816,2021-01-11,2021-05-01,2918,NJuLpQDqBTXlTWr,4597
