PO Requestor WWID,SC Number,PO Number,PO Date,PO Validity End Date,PO Net Amt $,PO Supplier Name,PO Supplier ID
G6621122,548945,6791762816,2021-05-19,2021-06-09,5540,iTVSydCGYuyOPmO,1588
B2339584,548945,6791762816,2021-05-10,2021-08-03,10233,IRTvqUAvaxXUDON,4236
B8205457,548945,6791762816,2021-06-16,2021-07-06,6698,DNEAAvCVhukcBoY,9677
G8599442,548945,6791762816,2021-04-14,2021-05-02,4194,nVKoFoQxxiJKrcZ,3209
G3295109,548945,6791762816,2021-04-26,2021-05-12,1834,KgDARicUpWvkiMr,2556
G5778210,548945,6791762816,2021-04-13,2021-07-08,5001,PehLWaHgbxkQEfh,6235
G4734347,548945,6791762816,2021-04-26,2021-05-31,3762,cQPnBnqgjZxvNkT,9438
G0294273,548945,6791762816,2021-06-07,2021-07-13,5959,WqKoouLtdaovWPk,5550
A9803288,548945,6791762816,2021-06-27,2021-07-07,9775,rXLHKBXFFWjHyiH,1842
B9867334,548945,6791762816,2021-06-08,2021-07-14,8403,uNWXeWnmrHsbjpL,8337
B5730997,548945,6791762816,2021-04-10,2021-06-05,9316,QLDxJFwqqAuBtyT,7262
B9539893,548945,6791762816,2021-05-02,2021-06-17,6375,sZfrjtsLeFSUirI,3669
A3141641,548945,6791762816,2021-06-11,2021-08-12,4466,gotDFhZWCGWGFKB,5375
A4255888,548945,6791762816,2021-05-13,2021-07-24,6530,OHzuoRLPfHcbqfX,3643
A0178720,548945,6791762816,2021-04-21,2021-05-02,12578,EPvMqHWgPGQXMtv,6635
B4166266,548945,6791762816,2021-05-12,2021-07-25,6935,orZSqRnxZewJvrT,1159
G3295109,548945,6791762816,2021-04-19,2021-06-27,14574,DjAFUikWlEEuFrH,8383
G8733259,548945,6791762816,2021-05-01,2021-07-19,6848,yJIyBwtGjiBPWDk,7383
G6050999,548945,6791762816,2021-05-21,2021-08-16,6717,XXGCGFDQcPniRAy,9452
G3660842,548945,6791762816,2021-05-24,2021-05-28,3450,uEKtigxoAbtLcNl,4784
A8394297,548945,6791762816,2021-04-21,2021-06-22,12617,KNJtBHDODefVwsF,3199
G3241853,548945,6791762816,2021-06-28,2021-08-21,7527,fgcdRUEdGdhPWMv,2625
B4316135,548945,6791762816,2021-04-22,2021-06-07,2891,sUtwexbMhXxDttI,4784
B4316135,548945,6791762816,2021-05-26,2021-06-09,10762,dcmLoGUymhzsVda,6168
G7494913,548945,6791762816,2021-05-25,2021-08-03,13515,lpxsgHWOYCihEAY,3910
G0294273,548945,6791762816,2021-04-03,2021-07-01,4058,YzCXhqBnFfEFhxK,5037
G6621122,548945,6791762816,2021-04-15,2021-04-19,5878,pTnJivsqRwTzlll,1749
G7348164,548945,6791762816,2021-05-26,2021-07-13,1471,IdxJoaQcyjLrOJb,3073
B6683279,548945,6791762816,2021-05-24,2021-06-18,9926,TRtYBxDzbIPbbcP,5308
B5730997,548945,6791762816,2021-04-16,2021-05-29,13508,LhCQdvsrrbaIxuG,8441
B6230669,548945,6791762816,2021-05-05,2021-06-09,2630,rPWNzQMsHzAlOlZ,6036
B4656755,548945,6791762816,2021-04-08,2021-05-11,13346,wSnzEUnRpnBmVao,2301
G8599442,548945,6791762816,2021-06-25,2021-08-07,8323,KMbCnauAwcTgssl,8740
G7769999,548945,6791762816,2021-06-07,2021-07-28,1845,YllnIWlyVXJceUS,4008
G3963840,548945,6791762816,2021-04-04,2021-06-02,13284,YlGqELyXPxCRBjK,9907
B4166266,548945,6791762816,2021-04-08,2021-04-18,9794,YKsjKnrezpCPJQb,1185
A2747102,548945,6791762816,2021-06-22,2021-08-01,12421,sjLWokaHgWBApkg,6003
G7348164,548945,6791762816,2021-04-27,2021-05-06,2199,rfkRSqDjtyJvVaY,9586
B1285962,548945,6791762816,2021-04-30,2021-06-12,8305,MzMaSLbWErzpKdS,5800
A4255888,548945,6791762816,2021-05-13,2021-07-07,7432,xZIRIizfyFRvHNG,1606
B3843902,548945,6791762816,2021-05-16,2021-07-27,11101,sVdjERaIHSBUnso,2893
G1183762,548945,6791762816,2021-06-15,2021-07-23,3283,aHsyAyuOQHQTPaI,9550
B8800376,548945,6791762816,2021-06-05,2021-08-06,1848,mOjSGsRzAbxyQYJ,6451
G7934854,548945,6791762816,2021-05-28,2021-08-12,9180,IBlrxjDBvDpuyTc,5746
B1285962,548945,6791762816,2021-05-17,2021-07-23,2544,IKSQDsoGhKMYfrK,8943
A2747102,548945,6791762816,2021-05-02,2021-05-21,4194,tOgbGeGaJOObaFn,9804
B8205457,548945,6791762816,2021-06-14,2021-07-13,13597,DlwjqzYbRxJKuoE,9443
B0325269,548945,6791762816,2021-05-25,2021-06-02,11967,PkzbmNWsAoMHShB,6602
G3295109,548945,6791762816,2021-06-03,2021-07-10,8687,pgpgytEJwhmlwoH,9772
A9803288,548945,6791762816,2021-06-11,2021-06-13,10661,pcnvtGozxqDrbza,9991
G7494913,548945,6791762816,2021-04-18,2021-06-05,5318,PCciIkvjCjaQuFm,6245
G1183762,548945,6791762816,2021-04-07,2021-04-20,4430,lFrvMCwdRGEWzwO,6399
G3660842,548945,6791762816,2021-05-04,2021-06-30,14367,XBIpdMixxxNLEFf,9293
A9803288,548945,6791762816,2021-05-18,2021-06-11,3492,oHYkgeVEVjytlbt,6044
G7934854,548945,6791762816,2021-05-12,2021-07-27,6938,PQfmIlhoPLOcAbt,3979
A4255888,548945,6791762816,2021-05-27,2021-08-04,6259,GmizWZeqTzghyjr,6972
G3241853,548945,6791762816,2021-06-02,2021-08-14,7995,xnhLtBZAhIYgdFN,4928
G2493226,548945,6791762816,2021-04-20,2021-05-05,10505,yuZYnVwiOxCLrnL,6975
B3111382,548945,6791762816,2021-04-28,2021-05-14,7280,KJSLIyJfxzwzxLO,8765
A9803288,548945,6791762816,2021-06-21,2021-09-06,11161,PJDRHsIqYwqypvS,3339
G3241853,548945,6791762816,2021-05-12,2021-06-21,6063,yEksmdUWqWJhECZ,3809
G7934854,548945,6791762816,2021-04-25,2021-06-30,3372,QvOEBeqnaDygQte,2450
B0888875,548945,6791762816,2021-05-11,2021-07-04,11647,vcAknpvhCBUPlQj,4626
B8205457,548945,6791762816,2021-06-14,2021-07-06,12693,euUGkllraSaLNPP,6767
B6230669,548945,6791762816,2021-05-01,2021-07-27,9987,VtEfBuTNEgUitnE,2536
B3843902,548945,6791762816,2021-05-22,2021-06-27,13926,liUIXRUeXbbteSA,8107
B4870683,548945,6791762816,2021-05-17,2021-07-24,6743,SfOYAwJQlFBcDSH,9229
B6683279,548945,6791762816,2021-05-17,2021-06-05,3906,wvehDlFZiVEORXT,4726
G9663829,548945,6791762816,2021-04-02,2021-06-08,14769,cADmeWTCmflvzWz,7381
G7494913,548945,6791762816,2021-06-03,2021-06-24,5357,jCcDaTChGBPIZFY,6996
G5858177,548945,6791762816,2021-06-30,2021-07-26,10283,iAqkQJddQLVFNAw,4456
B5730997,548945,6791762816,2021-06-21,2021-08-20,13728,fEYuvPUEQDgoKUS,6310
G4734347,548945,6791762816,2021-05-03,2021-06-21,6843,UMwOLiWHpwiipWb,2699
G7348164,548945,6791762816,2021-04-23,2021-07-06,1242,swZzmAFrYTBBfMh,2295
G1183762,548945,6791762816,2021-06-26,2021-08-27,4065,BxvCNsdRwOHluny,9904
G9369824,548945,6791762816,2021-06-08,2021-06-14,3365,cMKkdGNrdnfzbWy,6232
G3963840,548945,6791762816,2021-06-09,2021-08-12,3628,lZYusFjHYBgMbZz,1146
B8552233,548945,6791762816,2021-04-19,2021-05-07,2262,pHfxIAQVmVHOHIu,5483
G2953015,548945,6791762816,2021-06-14,2021-07-27,7565,ypJjKXqZHfamDUB,3117
A2747102,548945,6791762816,2021-06-07,2021-08-09,6209,TZStDEcGTxlGwtD,1134
B4316135,548945,6791762816,2021-04-22,2021-07-03,2411,HOONnNpLcRLLfcA,5669
B4316135,548945,6791762816,2021-04-08,2021-06-25,11173,yTfpPeXOKdYmadP,2822
G5858177,548945,6791762816,2021-06-06,2021-08-12,14950,ydSAtZKmWyUbGld,3359
B4166266,548945,6791762816,2021-06-21,2021-09-09,8580,CHACzVyTRIyvUJT,9124
B8552233,548945,6791762816,2021-06-08,2021-09-03,2409,aqnVhlAaVpLpJpN,8795
G7494913,548945,6791762816,2021-05-10,2021-05-21,5574,XPtKSdvITFsqNOi,6875
B2339584,548945,6791762816,2021-05-31,2021-08-11,3663,ClyBRCjigZkIVPU,2494
G6050999,548945,6791762816,2021-05-26,2021-05-30,3757,qunwsmiVlQlPGjR,7110
A2747102,548945,6791762816,2021-04-21,2021-06-21,10396,dcvWwJRnnvDqEsO,1062
B3049489,548945,6791762816,2021-05-20,2021-08-17,8060,EXpqGmCWUKqKgVp,7121
G7494913,548945,6791762816,2021-04-07,2021-04-28,7481,GWQWiABsBOLlTYN,3614
B4656755,548945,6791762816,2021-04-05,2021-06-29,2822,guAqyRcYTscVJnq,7191
G9663829,548945,6791762816,2021-04-20,2021-07-02,1015,DhbQFTSFmVaFJTo,2919
A0178720,548945,6791762816,2021-05-15,2021-07-22,5738,cjWPDgAKTSQdmWN,8754
G4734347,548945,6791762816,2021-06-25,2021-07-30,1067,jWoGhMwZSavqAmO,6046
A8394297,548945,6791762816,2021-05-17,2021-06-22,3267,QlFVYNAEelvYKUH,7596
G3660842,548945,6791762816,2021-05-10,2021-07-22,12750,xBBWfZxuaUQFCGM,5459
G5858177,548945,6791762816,2021-05-08,2021-05-20,12558,BDeGzgDzfUsJMIm,4687
B1093048,548945,6791762816,2021-05-06,2021-06-25,10689,MiTuASLygoeFSLG,9336
G1183762,548945,6791762816,2021-04-15,2021-04-24,7079,nOJfhjVNxbuECaP,5041
G1183762,548945,6791762816,2021-04-08,2021-05-05,3840,qBlJmrYiQeHnPNs,8661
G9369824,548945,6791762816,2021-06-27,2021-08-07,10533,rcABZUrfsOLbjYa,3620
G2953015,548945,6791762816,2021-05-12,2021-05-23,1506,DZuwOnKljgObTjN,2842
G7934854,548945,6791762816,2021-05-28,2021-06-07,13710,GbKTvqfVmROalOu,4574
B1285962,548945,6791762816,2021-05-02,2021-06-23,14098,xuruNpdBdHuOloR,8176
G4734347,548945,6791762816,2021-06-24,2021-07-20,12545,NDtMMkszfOGeRYl,3606
G2506327,548945,6791762816,2021-05-05,2021-06-23,12336,qyGJhgYlvyvUBfP,9297
B1093048,548945,6791762816,2021-04-08,2021-07-01,12367,dTwPuQRKskBtFXX,1097
B4870683,548945,6791762816,2021-06-03,2021-06-17,12013,PhpqhOmINDOCywl,3109
B4656755,548945,6791762816,2021-06-27,2021-07-06,14214,WQCnaImbSvMWwCW,1182
B6683279,548945,6791762816,2021-04-07,2021-06-19,13912,vOOKLbwQNyFLJKw,9427
G6050999,548945,6791762816,2021-06-06,2021-07-21,2354,MDQpokJUonKwQxA,1536
G8599442,548945,6791762816,2021-06-02,2021-07-10,2603,FHhOzhmyKMVkvue,6964
G5858177,548945,6791762816,2021-04-16,2021-06-22,10596,EcLxkUFFUKeyHVh,1217
G1183762,548945,6791762816,2021-04-10,2021-04-13,1499,iKaDRLRuxmhUVQc,6978
G7769999,548945,6791762816,2021-05-05,2021-06-01,5116,YfSYyRgBVjrcuvV,9718
G9663829,548945,6791762816,2021-06-25,2021-07-11,14569,riGcUkXVbCnLXEw,2317
G4734347,548945,6791762816,2021-04-26,2021-06-22,2237,dnSRFmPPCDMPGVD,9204
G9369824,548945,6791762816,2021-06-18,2021-08-21,12229,TXHStUqNQpwiOaY,6481
G6621122,548945,6791762816,2021-05-17,2021-06-23,14770,yNzGsNAykXuwwrt,2239
B8552233,548945,6791762816,2021-05-20,2021-06-20,13839,oQvxfsovIOMZiAD,4908
G9625029,548945,6791762816,2021-04-02,2021-04-13,6418,enNjlReJtAREaye,7261
B8800376,548945,6791762816,2021-05-22,2021-06-21,6096,pYdjkGmEfFiHlzR,5507
G1183762,548945,6791762816,2021-06-15,2021-08-01,1156,XdFeVgOYqECsSVx,3227
G8733259,548945,6791762816,2021-06-15,2021-07-15,11542,ffeQVcwmLlFTOzp,6900
A8394297,548945,6791762816,2021-06-10,2021-08-12,12105,uxZAXnPpUbepdQf,8463
G2506327,548945,6791762816,2021-06-05,2021-07-29,4456,TXYDZmXEaHHMvLN,8657
G1183762,548945,6791762816,2021-06-21,2021-09-01,11957,EjTqTwVafswZKNz,6449
B3049489,548945,6791762816,2021-04-07,2021-05-25,8614,fswhjRjDlJwtqKv,7554
B4656755,548945,6791762816,2021-06-21,2021-09-08,8274,oBNpQtkCyEDerUA,4338
G6621122,548945,6791762816,2021-06-05,2021-06-19,7529,yokLYmHEfKixfWt,4228
G6790921,548945,6791762816,2021-04-14,2021-07-09,13661,GPAiKAFIOkUvhoe,2233
A4629243,548945,6791762816,2021-05-15,2021-08-28,3383,WTHTiYiGjkuyZBD,1910
G6937885,548945,6791762816,2021-04-11,2021-08-09,13754,RApeBNiGgMowGBD,5961
A0786084,548945,6791762816,2021-06-22,2021-06-30,1958,haaMstyXJRRAbOX,1177
G3121056,548945,6791762816,2021-05-16,2021-07-17,10054,EhveMYmNvdchHZk,2247
B7710880,548945,6791762816,2021-05-10,2021-07-02,10336,iCOfVrfUNPcDECJ,2562
G9710933,548945,6791762816,2021-06-06,2021-07-05,6586,eksmqKQSicOxNET,9557
A2413381,548945,6791762816,2021-06-08,2021-08-20,11451,PhLkYJFbvynZidz,2627
B8218803,548945,6791762816,2021-04-16,2021-05-08,3304,ObyfHwtNqmHhnpx,5292
G7256697,548945,6791762816,2021-05-17,2021-08-20,11847,KTMnTHGOEmyEQnh,5212
A6919371,548945,6791762816,2021-05-04,2021-08-14,12787,aLuzhnBCMHZfEXN,4323
A0308428,548945,6791762816,2021-04-28,2021-05-16,13849,cHFNqhyCeKutXQL,7008
G2538053,548945,6791762816,2021-06-30,2021-08-23,4847,DDAjQxHciXurRXM,8917
B7449201,548945,6791762816,2021-05-14,2021-06-11,6428,AhWGWeJdMTyscKK,6143
A2924160,548945,6791762816,2021-05-28,2021-07-23,10255,PDMPgXGqBIETxtW,4827
A2853122,548945,6791762816,2021-04-02,2021-05-04,7122,mqHtKQsVEWZeQvw,6265
A9603964,548945,6791762816,2021-05-20,2021-08-19,6769,HlzkDGGkUWkCOeK,5972
A6697758,548945,6791762816,2021-04-29,2021-06-04,4237,BXOZXJFNUCSfhwD,8410
B6364973,548945,6791762816,2021-05-06,2021-06-25,14504,AXHYXHRpKFfejVf,5076
G5998398,548945,6791762816,2021-06-29,2021-09-26,4371,yRewlPplXwGIHym,4136
G2014850,548945,6791762816,2021-06-05,2021-09-17,14392,hruKSpNayhzewoE,5012
A9764112,548945,6791762816,2021-06-29,2021-09-07,6447,DEhwZpCtNXovcGl,6728
B2395305,548945,6791762816,2021-05-30,2021-07-16,8634,TwTUpRYoVpQDNpB,6744
B9380929,548945,6791762816,2021-04-01,2021-07-24,1832,cbDRjPOJCZPNBaq,3825
G8828894,548945,6791762816,2021-04-28,2021-05-29,4158,RJbuqXGqTStUWPo,1984
G6450884,548945,6791762816,2021-06-08,2021-08-04,3777,tmMFSZwbViLHpQY,6935
A9948156,548945,6791762816,2021-04-29,2021-05-27,13000,fydgMsCnPIwFDYy,9222
A4922476,548945,6791762816,2021-06-04,2021-07-22,10552,fHustONgeHByBMq,7396
G8754492,548945,6791762816,2021-04-06,2021-06-29,4059,ODSqWQebGBhRRXw,1696
A9954022,548945,6791762816,2021-06-22,2021-09-17,4616,pCaIhBHgXcOteXZ,3213
A3666821,548945,6791762816,2021-06-01,2021-09-16,6723,LTVvlerhuqgrbxb,2179
A0734281,548945,6791762816,2021-04-16,2021-07-11,7823,RvLTBUcMdgsCihz,4362
B7713857,548945,6791762816,2021-05-05,2021-08-07,2902,OrwXGuArzubGUHY,3874
G4207688,548945,6791762816,2021-05-10,2021-08-17,3043,GDvJLMSjeZdWxkY,1187
B1305397,548945,6791762816,2021-04-09,2021-06-19,13853,BOAvqbvCvbBmDSe,9964
B4959359,548945,6791762816,2021-05-06,2021-07-26,3545,dcmumSqoIbgJtaI,1712
B3894568,548945,6791762816,2021-04-04,2021-07-02,6545,gYjPnKDMXebnoUM,9229
B5624756,548945,6791762816,2021-06-10,2021-06-15,5910,mDonNtZNADSDKwe,2023
B4482655,548945,6791762816,2021-04-22,2021-08-06,9815,TTCImJAcXtgghmW,2052
